Keyword,Coefficient
sad,-10.019094491756297
miss,-5.7297309302366735
sick,-5.544142083957618
poor,-5.243724484378264
sucks,-5.191528622441987
wish,-5.145721165361453
disappointed,-5.13923003679968
missing,-4.95673087109612
hurts,-4.946214685829303
sadly,-4.885736402550312
died,-4.857236209368968
hate,-4.68228245295885
sorry,-4.617145921538385
upset,-4.61456614844598
bummed,-4.497270056285942
cry,-4.385591317797998
headache,-4.300055360429526
rip,-4.189252831826225
bummer,-4.122300278054999
broken,-4.122172919346106
ugh,-4.108867915501071
cant,-4.020014873804724
lost,-4.001646753150798
unfortunately,-3.9930628329028837
horrible,-3.9831607466337426
lonely,-3.963525047216643
gutted,-3.954818587294733
anymore,-3.8215874036230133
cancelled,-3.760867063213788
bad,-3.739964382063454
